lagrange,linear,spline
7.21822882e-001,3.35875974e-002,2.93784541e-004
3.95581291e-001,1.84332643e-002,1.07655672e-004
2.16755013e-001,1.01163899e-002,7.34385196e-005
1.18745627e-001,5.55199250e-003,3.64572799e-005
6.50375930e-002,3.04699809e-003,2.10388819e-005
3.56113340e-002,1.67222801e-003,1.12702073e-005
1.94922110e-002,9.17738188e-004,6.25922203e-006
1.06646367e-002,5.03665397e-004,3.41530531e-006
5.83167063e-003,2.76417430e-004,1.87967246e-006
3.18663377e-003,1.51701102e-004,1.03016204e-006
1.73965716e-003,8.32553301e-005,5.65748049e-007
9.48503933e-004,4.56914939e-005,3.10380658e-007
5.16212079e-004,2.50760235e-005,1.70391203e-007
2.80189974e-004,1.37620135e-005,9.34183849e-008
1.51441646e-004,7.55275315e-006,5.15955696e-008
8.12659835e-005,4.14503881e-006,2.71046469e-008
4.30068703e-005,2.27484553e-006,1.93952809e-008
2.20291598e-005,1.24846170e-006,6.22378319e-009
1.00748781e-005,6.85170307e-007,5.95369362e-008
1.69942454e-010,3.76029437e-007,2.02267781e-007
