lagrange,newton,linear,spline
4.30753523e-016,5.50720494e-016,1.64292699e-002,6.12739940e-005
4.81927866e-017,3.07371316e-017,1.10128690e-002,3.27728923e-005
2.19550940e-018,2.92734587e-018,7.38214684e-003,2.41923838e-005
6.50521303e-019,4.60785923e-019,4.94840101e-003,1.56207055e-005
1.89735380e-019,8.13151629e-020,3.31701239e-003,1.06305522e-005
2.71050543e-020,2.03287907e-020,2.22345990e-003,7.08308605e-006
6.77626358e-021,6.77626358e-021,1.49042974e-003,4.75939909e-006
1.69406589e-020,3.72694497e-020,9.99064934e-004,3.18724871e-006
3.38813179e-021,4.06575815e-020,6.69693253e-004,2.13729981e-006
1.69406589e-021,7.11507676e-020,4.48908812e-004,1.43245436e-006
8.47032947e-022,8.89384595e-020,3.00912575e-004,9.60261968e-007
8.47032947e-022,1.27054942e-019,2.01707731e-004,6.43667011e-007
8.47032947e-022,1.77029886e-019,1.35208736e-004,4.31467144e-007
4.23516474e-022,6.74661742e-019,9.06331260e-005,2.89219939e-007
2.11758237e-022,1.49289557e-019,6.07532012e-005,1.93870227e-007
0.00000000e+000,3.00696696e-020,4.07240886e-005,1.29955017e-007
2.11758237e-022,5.15631307e-019,2.72981730e-005,8.71114787e-008
0.00000000e+000,1.34466480e-018,1.82985126e-005,5.83925506e-008
2.11758237e-022,2.93163397e-018,1.22658598e-005,3.91417508e-008
2.11758237e-022,1.25254997e-018,8.22205169e-006,2.62373056e-008
2.64697796e-023,1.78001327e-018,5.51140607e-006,1.75881168e-008
8.07328278e-022,5.31788460e-018,3.69440597e-006,1.17869623e-008
2.38228016e-022,2.29598868e-018,2.47643438e-006,7.91113200e-009
1.31687154e-021,1.52675042e-018,1.66000361e-006,5.26531578e-009
6.12113653e-022,5.10226509e-018,1.11273369e-006,3.67005019e-009
1.41580234e-020,2.01833922e-017,7.45887701e-007,1.93536889e-009
2.19302124e-020,2.91818567e-018,4.99983478e-007,3.25567039e-009
2.41182706e-019,1.47959550e-017,3.35148948e-007,5.12633486e-009
2.97668934e-017,1.69390981e-017,2.24657058e-007,2.38400651e-008
4.92879847e-016,3.61844513e-016,1.50592130e-007,8.58162509e-008
